"CloseDate","ClosePrice","Ret1D","Var","VarL1","VarL2","VarL3","VarL4","VarL5"
2009-08-10,1.414,-0.00613390720060336,3.76248175456138e-05,8.52917938565675e-05,6.27001976551267e-06,8.14838059961962e-07,1.92660334511278e-08,0.000145882924415133
2009-08-11,1.4131,-0.000636694867817478,4.05380354705115e-07,3.76248175456138e-05,8.52917938565675e-05,6.27001976551267e-06,8.14838059961962e-07,1.92660334511278e-08
2009-08-12,1.4211,0.00564534700911529,3.18699428533269e-05,4.05380354705115e-07,3.76248175456138e-05,8.52917938565675e-05,6.27001976551267e-06,8.14838059961962e-07
2009-08-13,1.4277,0.00463353819735862,2.14696762263814e-05,3.18699428533269e-05,4.05380354705115e-07,3.76248175456138e-05,8.52917938565675e-05,6.27001976551267e-06
2009-08-14,1.4215,-0.00435210570411998,1.89408240598337e-05,2.14696762263814e-05,3.18699428533269e-05,4.05380354705115e-07,3.76248175456138e-05,8.52917938565675e-05
2009-08-17,1.4077,-0.00975548525713482,9.51694926021749e-05,1.89408240598337e-05,2.14696762263814e-05,3.18699428533269e-05,4.05380354705115e-07,3.76248175456138e-05
2009-08-18,1.4123,0.00326241424109858,1.06433466805228e-05,9.51694926021749e-05,1.89408240598337e-05,2.14696762263814e-05,3.18699428533269e-05,4.05380354705115e-07
2009-08-19,1.4223,0.00705569850116405,4.97828813393287e-05,1.06433466805228e-05,9.51694926021749e-05,1.89408240598337e-05,2.14696762263814e-05,3.18699428533269e-05
2009-08-20,1.4239,0.00112430621076665,1.26406445556845e-06,4.97828813393287e-05,1.06433466805228e-05,9.51694926021749e-05,1.89408240598337e-05,2.14696762263814e-05
2009-08-21,1.4292,0.00371526136230588,1.38031669902429e-05,1.26406445556845e-06,4.97828813393287e-05,1.06433466805228e-05,9.51694926021749e-05,1.89408240598337e-05
2009-08-24,1.4319,0.00188738653070575,3.56222791628948e-06,1.38031669902429e-05,1.26406445556845e-06,4.97828813393287e-05,1.06433466805228e-05,9.51694926021749e-05
2009-08-25,1.4332,0.000907472750838245,8.23506793513932e-07,3.56222791628948e-06,1.38031669902429e-05,1.26406445556845e-06,4.97828813393287e-05,1.06433466805228e-05
2009-08-26,1.4219,-0.00791570102847006,6.26583227721219e-05,8.23506793513932e-07,3.56222791628948e-06,1.38031669902429e-05,1.26406445556845e-06,4.97828813393287e-05
2009-08-27,1.4254,0.00245847066544164,6.04407801283704e-06,6.26583227721219e-05,8.23506793513932e-07,3.56222791628948e-06,1.38031669902429e-05,1.26406445556845e-06
2009-08-28,1.4363,0.00761788637000682,5.80321927463357e-05,6.04407801283704e-06,6.26583227721219e-05,8.23506793513932e-07,3.56222791628948e-06,1.38031669902429e-05
2009-08-31,1.434,-0.00160262027821156,2.56839175613491e-06,5.80321927463357e-05,6.04407801283704e-06,6.26583227721219e-05,8.23506793513932e-07,3.56222791628948e-06
2009-09-01,1.4239,-0.00706815637261671,4.99588345077622e-05,2.56839175613491e-06,5.80321927463357e-05,6.04407801283704e-06,6.26583227721219e-05,8.23506793513932e-07
2009-09-02,1.4254,0.00105289028082145,1.10857794344827e-06,4.99588345077622e-05,2.56839175613491e-06,5.80321927463357e-05,6.04407801283704e-06,6.26583227721219e-05
2009-09-03,1.4264,0.000701311481160372,4.91837793607354e-07,1.10857794344827e-06,4.99588345077622e-05,2.56839175613491e-06,5.80321927463357e-05,6.04407801283704e-06
2009-09-04,1.4229,-0.00245674499728499,6.03559598168481e-06,4.91837793607354e-07,1.10857794344827e-06,4.99588345077622e-05,2.56839175613491e-06,5.80321927463357e-05
2009-09-07,1.4337,0.0075614727005765,5.71758694015637e-05,6.03559598168481e-06,4.91837793607354e-07,1.10857794344827e-06,4.99588345077622e-05,2.56839175613491e-06
2009-09-08,1.4529,0.013303043825071,0.000176970975011759,5.71758694015637e-05,6.03559598168481e-06,4.91837793607354e-07,1.10857794344827e-06,4.99588345077622e-05
2009-09-09,1.4572,0.00295522705711554,8.73336695910777e-06,0.000176970975011759,5.71758694015637e-05,6.03559598168481e-06,4.91837793607354e-07,1.10857794344827e-06
2009-09-10,1.4555,-0.00116730194873083,1.36259383951078e-06,8.73336695910777e-06,0.000176970975011759,5.71758694015637e-05,6.03559598168481e-06,4.91837793607354e-07
2009-09-11,1.4593,0.00260738448802217,6.79845386837863e-06,1.36259383951078e-06,8.73336695910777e-06,0.000176970975011759,5.71758694015637e-05,6.03559598168481e-06
2009-09-14,1.4631,0.00260060371041659,6.76313965863255e-06,6.79845386837863e-06,1.36259383951078e-06,8.73336695910777e-06,0.000176970975011759,5.71758694015637e-05
2009-09-15,1.4591,-0.00273766511413992,7.49481027717874e-06,6.76313965863255e-06,6.79845386837863e-06,1.36259383951078e-06,8.73336695910777e-06,0.000176970975011759
2009-09-16,1.4685,0.00642166436869812,4.1237773264207e-05,7.49481027717874e-06,6.76313965863255e-06,6.79845386837863e-06,1.36259383951078e-06,8.73336695910777e-06
